N,Diameter,Temperature,Mx,Chi_x,Chi_y,Chi_z,Chi_longitudinal,Chi_trans
4,1.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0
4,1.0,5.0,0.995597,0.0573873,0.0572118,3.50627e-05,2.80562e-05,0.057299550000000005
4,1.0,10.0,0.991169,0.0574973,0.0577297,7.12773e-05,5.69373e-05,0.0576135
4,1.0,15.0,0.986716,0.0576134,0.0578122,0.000108221,8.63156e-05,0.0577128
4,1.0,20.0,0.982238,0.0580876,0.0580504,0.000146046,0.000116276,0.058069
4,1.0,25.0,0.977736,0.0579323,0.0582244,0.000184565,0.000146725,0.05807835
4,1.0,30.0,0.973205,0.0584803,0.058495,0.000224683,0.000178008,0.05848765
4,1.0,35.0,0.968646,0.0587427,0.0588125,0.000266026,0.000210855,0.0587776
4,1.0,40.0,0.964064,0.0591838,0.0593085,0.000309388,0.000243683,0.05924615
4,1.0,45.0,0.959455,0.0593151,0.0594988,0.000351947,0.000277058,0.05940695
4,1.0,50.0,0.954809,0.0593573,0.0595195,0.000395693,0.000311913,0.0594384
4,1.0,55.0,0.950149,0.0597434,0.0599181,0.000441837,0.000346532,0.05983075
4,1.0,60.0,0.945448,0.0605106,0.0603878,0.000490765,0.000382718,0.060449199999999995
4,1.0,65.0,0.940729,0.0602501,0.0604235,0.000535199,0.000419461,0.060336799999999996
4,1.0,70.0,0.935972,0.0608035,0.0609358,0.000587272,0.000457499,0.06086965
4,1.0,75.0,0.931191,0.0610463,0.0613482,0.000638316,0.000495692,0.061197249999999995
4,1.0,80.0,0.926387,0.0613765,0.0613237,0.00068982,0.000534402,0.061350100000000005
4,1.0,85.0,0.921542,0.0619318,0.0612349,0.000744215,0.000576107,0.06158335
4,1.0,90.0,0.916675,0.0619658,0.0620655,0.000797585,0.000614744,0.062015650000000005
4,1.0,95.0,0.911778,0.0621302,0.062309,0.000855849,0.000657359,0.0622196
4,1.0,100.0,0.906844,0.0625527,0.0626006,0.000915436,0.000702339,0.06257665000000001
4,1.0,105.0,0.901893,0.0628959,0.0628364,0.00097309,0.000744362,0.06286615000000001
4,1.0,110.0,0.896888,0.0632147,0.0631477,0.00103661,0.000791827,0.06318119999999999
4,1.0,115.0,0.891866,0.063482,0.0637397,0.0011015,0.000838643,0.06361085
4,1.0,120.0,0.886814,0.0639963,0.0638012,0.00117132,0.000885946,0.06389875
4,1.0,125.0,0.881733,0.0640275,0.0640866,0.001232,0.000932212,0.06405705
4,1.0,130.0,0.876616,0.0640604,0.0643011,0.00130222,0.000984115,0.06418075000000001
4,1.0,135.0,0.871445,0.0646862,0.0650056,0.00137927,0.00103772,0.0648459
4,1.0,140.0,0.866292,0.0647064,0.0652834,0.00144546,0.00108635,0.0649949
4,1.0,145.0,0.861076,0.0653656,0.0653502,0.00152411,0.00114008,0.0653579
4,1.0,150.0,0.855867,0.0655773,0.0653326,0.00159794,0.00119148,0.06545495000000001
4,1.0,155.0,0.850544,0.065667,0.0659072,0.00168598,0.00125249,0.0657871
